lga_code,lga_name,sex,year,population,is_total_row
40070,Adelaide (C),Persons,2016,23552,False
40070,Adelaide (C),Persons,2021,27617,False
40070,Adelaide (C),Persons,2026,30371,False
40070,Adelaide (C),Persons,2031,33604,False
40070,Adelaide (C),Persons,2036,37117,False
40120,Adelaide Hills (DC),Persons,2016,39639,False
40120,Adelaide Hills (DC),Persons,2021,39642,False
40120,Adelaide Hills (DC),Persons,2026,39607,False
40120,Adelaide Hills (DC),Persons,2031,39531,False
40120,Adelaide Hills (DC),Persons,2036,39517,False
40150,Adelaide Plains (DC),Persons,2016,8912,False
40150,Adelaide Plains (DC),Persons,2021,9425,False
40150,Adelaide Plains (DC),Persons,2026,9598,False
40150,Adelaide Plains (DC),Persons,2031,9759,False
40150,Adelaide Plains (DC),Persons,2036,9924,False
40220,Alexandrina (DC),Persons,2016,26559,False
40220,Alexandrina (DC),Persons,2021,28462,False
40220,Alexandrina (DC),Persons,2026,30571,False
40220,Alexandrina (DC),Persons,2031,32526,False
40220,Alexandrina (DC),Persons,2036,34403,False
40250,Anangu Pitjantjatjara (AC),Persons,2016,2498,False
40250,Anangu Pitjantjatjara (AC),Persons,2021,2455,False
40250,Anangu Pitjantjatjara (AC),Persons,2026,2556,False
40250,Anangu Pitjantjatjara (AC),Persons,2031,2604,False
40250,Anangu Pitjantjatjara (AC),Persons,2036,2646,False
40310,Barossa (DC),Persons,2016,24210,False
40310,Barossa (DC),Persons,2021,25373,False
40310,Barossa (DC),Persons,2026,26481,False
40310,Barossa (DC),Persons,2031,27532,False
40310,Barossa (DC),Persons,2036,28428,False
40430,Barunga West (DC),Persons,2016,2610,False
40430,Barunga West (DC),Persons,2021,2674,False
40430,Barunga West (DC),Persons,2026,2746,False
40430,Barunga West (DC),Persons,2031,2806,False
40430,Barunga West (DC),Persons,2036,2856,False
40520,Berri and Barmera (DC),Persons,2016,10838,False
40520,Berri and Barmera (DC),Persons,2021,10846,False
40520,Berri and Barmera (DC),Persons,2026,10867,False
40520,Berri and Barmera (DC),Persons,2031,10845,False
40520,Berri and Barmera (DC),Persons,2036,10785,False
40700,Burnside (C),Persons,2016,45216,False
40700,Burnside (C),Persons,2021,45631,False
40700,Burnside (C),Persons,2026,46781,False
40700,Burnside (C),Persons,2031,47488,False
40700,Burnside (C),Persons,2036,48059,False
40910,Campbelltown (C) (SA),Persons,2016,51079,False
40910,Campbelltown (C) (SA),Persons,2021,53059,False
40910,Campbelltown (C) (SA),Persons,2026,55009,False
40910,Campbelltown (C) (SA),Persons,2031,56862,False
40910,Campbelltown (C) (SA),Persons,2036,58435,False
41010,Ceduna (DC),Persons,2016,3564,False
41010,Ceduna (DC),Persons,2021,3464,False
41010,Ceduna (DC),Persons,2026,3428,False
41010,Ceduna (DC),Persons,2031,3399,False
41010,Ceduna (DC),Persons,2036,3368,False
41060,Charles Sturt (C),Persons,2016,114977,False
41060,Charles Sturt (C),Persons,2021,121110,False
41060,Charles Sturt (C),Persons,2026,126447,False
41060,Charles Sturt (C),Persons,2031,131947,False
41060,Charles Sturt (C),Persons,2036,138292,False
41140,Clare and Gilbert Valleys (DC),Persons,2016,9250,False
41140,Clare and Gilbert Valleys (DC),Persons,2021,9533,False
41140,Clare and Gilbert Valleys (DC),Persons,2026,9854,False
41140,Clare and Gilbert Valleys (DC),Persons,2031,10146,False
41140,Clare and Gilbert Valleys (DC),Persons,2036,10374,False
41190,Cleve (DC),Persons,2016,1821,False
41190,Cleve (DC),Persons,2021,1816,False
41190,Cleve (DC),Persons,2026,1809,False
41190,Cleve (DC),Persons,2031,1793,False
41190,Cleve (DC),Persons,2036,1781,False
41330,Coober Pedy (DC),Persons,2016,1818,False
41330,Coober Pedy (DC),Persons,2021,1775,False
41330,Coober Pedy (DC),Persons,2026,1757,False
41330,Coober Pedy (DC),Persons,2031,1731,False
41330,Coober Pedy (DC),Persons,2036,1705,False
41560,Copper Coast (DC),Persons,2016,14472,False
41560,Copper Coast (DC),Persons,2021,15355,False
41560,Copper Coast (DC),Persons,2026,16298,False
41560,Copper Coast (DC),Persons,2031,17160,False
41560,Copper Coast (DC),Persons,2036,17893,False
41750,Elliston (DC),Persons,2016,1075,False
41750,Elliston (DC),Persons,2021,1053,False
41750,Elliston (DC),Persons,2026,1037,False
41750,Elliston (DC),Persons,2031,1020,False
41750,Elliston (DC),Persons,2036,1003,False
41830,Flinders Ranges (DC),Persons,2016,1717,False
41830,Flinders Ranges (DC),Persons,2021,1686,False
41830,Flinders Ranges (DC),Persons,2026,1646,False
41830,Flinders Ranges (DC),Persons,2031,1621,False
41830,Flinders Ranges (DC),Persons,2036,1597,False
41960,Franklin Harbour (DC),Persons,2016,1338,False
41960,Franklin Harbour (DC),Persons,2021,1335,False
41960,Franklin Harbour (DC),Persons,2026,1331,False
41960,Franklin Harbour (DC),Persons,2031,1309,False
41960,Franklin Harbour (DC),Persons,2036,1281,False
42030,Gawler (T),Persons,2016,23352,False
42030,Gawler (T),Persons,2021,26770,False
42030,Gawler (T),Persons,2026,30004,False
42030,Gawler (T),Persons,2031,33583,False
42030,Gawler (T),Persons,2036,37246,False
42110,Goyder (DC),Persons,2016,4241,False
42110,Goyder (DC),Persons,2021,4235,False
42110,Goyder (DC),Persons,2026,4267,False
42110,Goyder (DC),Persons,2031,4277,False
42110,Goyder (DC),Persons,2036,4279,False
42250,Grant (DC),Persons,2016,8422,False
42250,Grant (DC),Persons,2021,8520,False
42250,Grant (DC),Persons,2026,8705,False
42250,Grant (DC),Persons,2031,8894,False
42250,Grant (DC),Persons,2036,9046,False
42600,Holdfast Bay (C),Persons,2016,36532,False
42600,Holdfast Bay (C),Persons,2021,37230,False
