agency,period,executive_classification,headcount,is_total_row,source_file
Attorney-General's Department,2012-13,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Commissioner for Victim’s Rights,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Director of Public Prosecutions,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Equal Opportunity Commissioner,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Police Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Public Advocate,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Solicitor General,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,South Australian Executive Service 1**,52,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,South Australian Executive Service 2**,27,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2012-13,Total,87,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Commissioner for Victim’s Rights,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Director of Public Prosecutions,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Equal Opportunity Commissioner,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Police Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,President of the Residency Tenancy Tribunal,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Public Advocate,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Solicitor General,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,South Australian Executive Service 1**,54,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,South Australian Executive Service 2**,24,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2013-14,Total,87,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Commissioner for Victim’s Rights,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Director of Public Prosecutions,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Equal Opportunity Commissioner,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Police Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Public Advocate,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Solicitor General,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,South Australian Executive Service 1**,46,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,South Australian Executive Service 2**,26,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2014-15,Total,80,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Commissioner for Victim’s Rights,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Director of Public Prosecutions,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Equal Opportunity Commissioner,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Police Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Public Advocate,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,South Australian Executive Service 1**,50,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,South Australian Executive Service 2**,24,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2015-16,Total,81,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Commissioner for Victim’s Rights,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Director of Public Prosecutions,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Equal Opportunity Commissioner,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Police Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Public Advocate,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Solicitor General,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,South Australian Executive Service 1**,51,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,South Australian Executive Service 2**,23,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2016-17,Total,82,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Commissioner for Victim’s Rights,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Director of Public Prosecutions,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Equal Opportunity Commissioner,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Ombudsman,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Public Advocate,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Solicitor General,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,South Australian Executive Service 1**,53,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,South Australian Executive Service 2**,18,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2017-18,Total,78,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2018-19,Chief Executive,1,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2018-19,South Australian Executive Service 1**,48,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2018-19,South Australian Executive Service 2**,16,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2018-19,Statutory Appointments,6,False,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2018-19,Total,71,True,agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2019-20,Chief Executive,1,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2019-20,South Australian Executive Service 1**,55,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2019-20,South Australian Executive Service 2**,14,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2019-20,Statutory Appointments,8,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2019-20,Total,78,True,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2020-21,Chief Executive,1,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2020-21,South Australian Executive Service 1**,66,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2020-21,South Australian Executive Service 2**,16,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2020-21,Statutory Appointments,7,False,0a9d24a5-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2020-21,Total,90,True,eee9005d-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2021-22,Chief Executive,1,False,eee9005d-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2021-22,South Australian Executive Service 1**,62,False,eee9005d-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2021-22,South Australian Executive Service 2**,16,False,eee9005d-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2021-22,Statutory Appointments,13,False,eee9005d-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2021-22,Total,92,True,eee9005d-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2022-23,Chief Executive,1,False,8f1aea70-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2022-23,South Australian Executive Service 1**,61,False,8f1aea70-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2022-23,South Australian Executive Service 2**,19,False,8f1aea70-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2022-23,Statutory Appointments,12,False,8f1aea70-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2022-23,Total,93,True,8f1aea70-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2023-24,Chief Executive,1,False,86cf48be-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2023-24,South Australian Executive Service 1**,56,False,86cf48be-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2023-24,South Australian Executive Service 2**,22,False,86cf48be-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2023-24,Statutory Appointments,9,False,86cf48be-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2023-24,Total,88,True,86cf48be-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2024-25,Chief Executive,1,False,7e37aae3-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2024-25,South Australian Executive Service 1**,67,False,7e37aae3-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2024-25,South Australian Executive Service 2**,16,False,7e37aae3-agd-annual-report-data-executives-employed.csv
Attorney-General's Department,2024-25,Statutory Appointments,9,False,7e37aae3-agd-annual-report-data-executives-employed.csv
Commission on Excellence and Innovation in Health,As at 30 June 2020,Chief Executive,1,False,data.sa-executive-employment-2019-20.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2020,SAES 1 Level roles,4,False,data.sa-executive-employment-2019-20.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2021,Chief Executive,1,False,data.sa-ceih-executive-employment-2020-21.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2021,SAES 1 Level roles,3,False,data.sa-ceih-executive-employment-2020-21.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2022,EXF,1,False,data.sa-ceih-executive-employment-2021-22.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2022,SAES 1 Level,2,False,data.sa-ceih-executive-employment-2021-22.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2023,EXF,1,False,data.sa-ceih-executive-employment-2022-23.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2023,SAES 1 Level,2,False,data.sa-ceih-executive-employment-2022-23.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2024,Chief Executive (known as Commissioner),1,False,data.sa-ceih-executive-employment-2023-24.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2024,SAES 1 Level,2,False,data.sa-ceih-executive-employment-2023-24.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2025,Chief Executive (known as Commissioner),1,False,data.sa-ceih-executive-employment-2024-25.xlsx
Commission on Excellence and Innovation in Health,As at 30 June 2025,SAES 1 Level,3,False,data.sa-ceih-executive-employment-2024-25.xlsx
Courts Administration Authority,2012-13,EXEC OA,2,False,courts-administration-authority-annual-report-executive-employment.csv
Courts Administration Authority,2012-13,EXEC OB,3,False,courts-administration-authority-annual-report-executive-employment.csv
Courts Administration Authority,2012-13,EXEC OC,1,False,courts-administration-authority-annual-report-executive-employment.csv
Courts Administration Authority,2013-14,EXEC OA,2,False,courts-administration-authority-2017-18-annual-report-executive-employment.xlsx
Courts Administration Authority,2013-14,EXEC OB,3,False,courts-administration-authority-2017-18-annual-report-executive-employment.xlsx
Courts Administration Authority,2013-14,EXEC OC,1,False,courts-administration-authority-2017-18-annual-report-executive-employment.xlsx
Courts Administration Authority,2014-15,EXEC OA,2,False,courts-administration-authority-2018-19-annual-report-executive-employment.csv
Courts Administration Authority,2014-15,EXEC OB,3,False,courts-administration-authority-2018-19-annual-report-executive-employment.csv
Courts Administration Authority,2014-15,EXEC OC,1,False,courts-administration-authority-2018-19-annual-report-executive-employment.csv
Courts Administration Authority,2015-16,EXEC OA,3,False,courts-administration-authority-2019-20-annual-report-executive-employment.csv
Courts Administration Authority,2015-16,EXEC OB,4,False,courts-administration-authority-2019-20-annual-report-executive-employment.csv
Courts Administration Authority,2015-16,EXEC OC,1,False,courts-administration-authority-2019-20-annual-report-executive-employment.csv
Courts Administration Authority,2016-17,EXEC OA,3,False,courts-administration-authority-2020-21-annual-report-executive-employment.csv
Courts Administration Authority,2016-17,EXEC OB,4,False,courts-administration-authority-2020-21-annual-report-executive-employment.csv
Courts Administration Authority,2016-17,EXEC OC,1,False,courts-administration-authority-2020-21-annual-report-executive-employment.csv
Courts Administration Authority,2017-18,EXEC OA,3,False,courts-administration-authority-2021-22-annual-report-executive-employment.csv
Courts Administration Authority,2017-18,EXEC OC,1,False,courts-administration-authority-2021-22-annual-report-executive-employment.csv
Courts Administration Authority,2018-19,EXEC OA,3,False,courts-administration-authority-2022-23-annual-report-executive-employment.csv
Courts Administration Authority,2018-19,EXEC OB,4,False,courts-administration-authority-2022-23-annual-report-executive-employment.csv
Courts Administration Authority,2018-19,EXEC OC,1,False,courts-administration-authority-2022-23-annual-report-executive-employment.csv
Courts Administration Authority,2019-20,EXEC OA,3,False,courts-administration-authority-2023-24-annual-report-executive-employment.csv
Courts Administration Authority,2019-20,EXEC OB,2,False,courts-administration-authority-2023-24-annual-report-executive-employment.csv
Courts Administration Authority,2019-20,EXEC OC,1,False,courts-administration-authority-2023-24-annual-report-executive-employment.csv
Courts Administration Authority,2020-21,EXEC OA,2,False,courts-administration-authority-2024-25-annual-report-executive-employment.csv
Courts Administration Authority,2020-21,EXEC OB,3,False,courts-administration-authority-2024-25-annual-report-executive-employment.csv
