Executive employment last eight years,,,,,,,,
,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15
South Australian Executive Service 1**,62,66,55,48,53,51,50,46
South Australian Executive Service 2**,16,16,14,16,18,23,24,26
Chief Executive,1,1,1,1,1,1,1,1
Director of Public Prosecutions,^,^,^,^,1,1,1,1
Police Ombudsman,***,***,***,***,***,1,1,1
Ombudsman,^,^,^,^,1,1,1,1
Solicitor General,^,^,^,^,1,1,*,1
Commissioner for Victim’s Rights,^,^,^,^,1,1,1,1
Equal Opportunity Commissioner,^,^,^,^,1,1,1,1
Public Advocate,^,^,^,^,1,1,1,1
President of the Residency Tenancy Tribunal,#,#,#,#,#,#,#,#
Statutory Appointments,13,7,8,6,,,,
Total,92,90,78,71,78,82,81,80
,,,,,,,,
Notes,,,,,,,,
Includes some statutory officers,,,,,,,,
* Positions not filled as at June 30th in that year.,,,,,,,,
"# The South Australian Civil and Administrative Tribunal commenced operations on 30 March 2015 taking on board the work of these  former bodies, Guardianship Board, Residential Tenancies Tribunal and the Housing Appeal Panel. ",,,,,,,,
**Includes legal staff from the Crown Solicitor’s Office and the Office of the Director of Public Prosecutions and staff from the Office of the Parliamentary Counsel,,,,,,,,
Data sourced from AGD Human Resources,,,,,,,,
*** Functions of the Office of the Police Ombudsman transferred to the Office of Public Integrity during 2017-18,,,,,,,,
^ Positions previously reported have been amalgamated into 'Statutory Appointments' ,,,,,,,,
