Executive employment in the Department for Education as at the last pay day in June 2024,,,,,,,,,,
Includes employees who were actively employed or on paid leave.,,,,,,,,,,
"Notes: Executives are defined as employees who receive a total salary equivalent to $154,768 per annum or more (equating to EL1 minimum under the public service structure).  A number of classifications meet the ""Executive Salary Threshold"" but are excluded as they are not considered part of the ""Executive"" group.",,,,,,,,,,
Notes: Commissioner positions (x3) and Guardian positions (x1) are NOT to be included in our Executive numbers as they are not a true indication of executive numbers in the department and they are reported on separately by their respective offices and in their annual reports,,,,,,,,,,
"Source: Department for Education VALEO system, DPC Workforce Information Collection as at the last pay day in June 2024.",,,,,,,,,,
,,,,,,,,,,
Executive classification,Number of executives,,,,,,,,,
Chief Executive,1,,,,,,,,,
SA Executive Service Level 1,66,,,,,,,,,
SA Executive Service Level 2,20,,,,,,,,,
SAES Specialist,3,,,,,,,,,
PS Act Executive A,0,,,,,,,,,
Principal Band A-2,57,,,,,,,,,
Principal Band A-3,151,,,,,,,,,
Principal Band A-4,102,,,,,,,,,
Principal Band A-5,97,,,,,,,,,
Principal Band A-6,58,,,,,,,,,
Principal Band A-7,31,,,,,,,,,
Principal Band A-8,21,,,,,,,,,
Principal Band A-9,27,,,,,,,,,
Principal Band A-9 plus,11,,,,,,,,,
Education and Children's Services Act Section 121 Negotiated Conditions,253,,,,,,,,,
Preschool Director Band A-2,11,,,,,,,,,
Preschool Director Band A-3,50,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Executive employment in the agency as at the last pay day in June each year.,,,,,,,,,,
Includes employees who were actively employed or on paid leave.,,,,,,,,,,
"Notes: Executives are defined as employees who receive a total salary equivalent as defined by the Commissioner for Public Sector Employment in the Human Resource Dataset Definitions for June each year.  A number of classifications meet the ""Executive Salary Threshold"" but are excluded as they are not considered part of the ""Executive"" group. Previous reporting has identified Education Directors separtely however they are now consoldiated with ""Education and Children's Services Act Section 121 (previously section 101b) negotiated conditions with prior years also consolidated.",,,,,,,,,,
,,,,,,,,,,
"Source: Department for Education VALEO system, DPC Workforce Information Collection as at the last pay day in June each year.",,,,,,,,,,
,,,,,,,,,,
Executive classification,Number of executives by Year,,,,,,,,,
,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Chief Executive,1,1,1,1,1,1,1,1,1,1
PS Act Executive A - Untenured,1,1,0,0,0,0,0,0,0,0
Commissioner*,0,0,0,1,1,2,0,0,0,0
SA Executive Service Level 1,29,27,37,27,37,32,41,67,65,71
SA Executive Service Level 2,8,9,10,6,7,11,12,13,14,15
Principal Band A-2,-,-,-,-,-,-,67,68,67,60
Principal Band A-3,-,-,-,-,143,152,158,150,153,156
Principal Band A-4,102,112,104,99,105,99,93,93,102,106
Principal Band A-5,91,91,97,89,97,96,97,97,94,85
Principal Band A-6,58,53,53,51,55,60,53,56,60,60
Principal Band A-7,26,28,27,33,30,35,32,32,28,31
Principal Band A-8,18,17,17,18,18,16,19,18,23,25
Principal Band A-9,23,23,24,27,28,27,25,29,22,22
Principal Band A-9 plus,,,,,,,,,13,15
Education and Children's Services Act Section 121 Negotiated Conditions,110,139,145,158,212,207,208,238,251,256
Preschool Director Band A-2,,,,,,,,14,14,12
Preschool Director Band A-3,,,,,,,,50,51,49
,,,,,,,,,,
*Note in 2020 the executives in the Commissioner for Children and Young People have been classified as SA Executive Services Level 2 (2),,,,,,,,,,
