Residential Tenancies Act 1995,,,
S10—Annual report,,,
Bonds – numbers held ,2017-18,2016-17,2015-16
Total tenant provided residential bonds held,160737,154 813,152 353
Total Housing SA provided residential bonds held,232,244,265
Total Housing SA residential bond guarantees held,73919,73004,68779
Total residential bonds held,234888,228 061,221 397
Residential Tenancies Bonds,2017-18,2016-17,2015-16
Residential bonds lodged,66692,66822,68463
Residential bonds refunded,59840,59688,60152
Incoming contact,2017-18,2016-17,2015-16
Incoming bond calls,54544,37039,51369
Incoming emails requesting advice,31200,34601,27780
Advice,2017-18,2016-17,2015-16
Tenancy advice provided,35347,35386,43028
Expiation notices issued ,8,9,57
A copy of the report on the administration of the Fund will be available on the CBS website on or before 31 December.,,,
# Reporting systems changed significantly in 2015-16 and therefore previous data is available from https://www.cbs.sa.gov.au/about/ prior to 2015-16,,,
