financial_year,financial_year_total,type,type_total,count
2020-21,3751,Review of a Level 1 Inpatient Treatment Order,8,8
2020-21,3751,Review of a Level 2 Inpatient Treatment Order extension,96,96
2020-21,3751,Reviews pursunat to s 57,3647,3647
2021-22,3463,Review of a Level 1 Community Treatment Order,2,2
2021-22,3463,Review of a Level 1 Inpatient Treatment Order,15,15
2021-22,3463,Review of a Level 2 Inpatient Treatment Order extension,127,127
2021-22,3463,Reviews pursuant to s 57,3319,3319
2022-23,3078,Review of a Level 1 Inpatient Treatment Order,5,5
2022-23,3078,Review of a Level 2 Inpatient Treatment Order extension,13,13
2022-23,3078,Reviews pursuant to s 57,3060,3060
