financial_year,financial_year_total,act,act_total,application,type_total,count
2020-21,6800,Housing Improvement Act (H&C),12,Compensation,11,11
2020-21,6800,Housing Improvement Act (H&C),12,Exemption from the Act,1,1
2020-21,6800,Land Agents Act,2,Complaint (Land Agents Act),2,2
2020-21,6800,Procedural,5,Application for review due to non-attendance at hearing,5,5
2020-21,6800,Residential Parks,18,Compensation or bond claim (Residential parks),2,2
2020-21,6800,Residential Parks,18,Frustration,1,1
2020-21,6800,Residential Parks,18,Hardship,6,6
2020-21,6800,Residential Parks,18,"Termination and/or possession (conduct, illegal use of premises or abandonment)",4,4
2020-21,6800,Residential Parks,18,"Vacant Possession (breach, end of lease or non-compliance)",4,4
2020-21,6800,Residential Parks,18,Vary or set aside a previous order,1,1
2020-21,6800,Residential Tenancy,6607,Compensation or bond claim,2401,2401
2020-21,6800,Residential Tenancy,6607,Domestic Violence,24,24
2020-21,6800,Residential Tenancy,6607,Frustration,64,64
2020-21,6800,Residential Tenancy,6607,Hardship or domestic violence,263,263
2020-21,6800,Residential Tenancy,6607,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",19,19
2020-21,6800,Residential Tenancy,6607,Return of goods,33,33
2020-21,6800,Residential Tenancy,6607,"Termination and/or possession (conduct, illegal use of premises or abandonment)",278,278
2020-21,6800,Residential Tenancy,6607,"Vacant possession (breach, end of lease or non-compliance)",3525,3525
2020-21,6800,Retirement Villages,26,Resolution of dispute between resident and administering authority,16,16
2020-21,6800,Retirement Villages,26,Retirement Village Rules,2,2
2020-21,6800,Retirement Villages,26,Review of fees and charges,1,1
2020-21,6800,Retirement Villages,26,Termination and/or possession,1,1
2020-21,6800,Retirement Villages,26,Vacant possession (breach or other),5,5
2020-21,6800,Retirement Villages,26,Vary or set aside a previous order,1,1
2020-21,6800,Rooming House,130,Compensation or bond claim (Rooming House),58,58
2020-21,6800,Rooming House,130,House rules,4,4
2020-21,6800,Rooming House,130,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",23,23
2020-21,6800,Rooming House,130,"Vacant possession (breach, end of lease or frustration)",45,45
2021-22,7018,Housing Improvement Act,1,Review of a Notice to Vacate,1,1
2021-22,7018,Housing Improvement Act (H&C),16,Compensation,12,12
2021-22,7018,Housing Improvement Act (H&C),16,Exemption from the Act,1,1
2021-22,7018,Housing Improvement Act (H&C),16,Order for ejectment,1,1
2021-22,7018,Housing Improvement Act (H&C),16,Permission to serve,1,1
2021-22,7018,Housing Improvement Act (H&C),16,Vary or set aside a HIA notice or order,1,1
2021-22,7018,Procedural,2,Application for review due to non-attendance at hearing,2,2
2021-22,7018,Residential Parks,35,Compensation or bond claim (Residential parks),15,15
2021-22,7018,Residential Parks,35,Hardship,10,10
2021-22,7018,Residential Parks,35,"Termination and/or possession (conduct, illegal use of premises or abandonment)",3,3
2021-22,7018,Residential Parks,35,"Vacant Possession (breach, end of lease or non-compliance)",7,7
2021-22,7018,Residential Tenancy,6806,Bond Dispute Referral,1,1
2021-22,7018,Residential Tenancy,6806,Compensation or bond claim,2227,2227
2021-22,7018,Residential Tenancy,6806,Domestic Violence,15,15
2021-22,7018,Residential Tenancy,6806,Frustration,62,62
2021-22,7018,Residential Tenancy,6806,Hardship or domestic violence,241,241
2021-22,7018,Residential Tenancy,6806,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",13,13
2021-22,7018,Residential Tenancy,6806,Return of goods,29,29
2021-22,7018,Residential Tenancy,6806,"Termination and/or possession (conduct, illegal use of premises or abandonment)",245,245
2021-22,7018,Residential Tenancy,6806,"Vacant possession (breach, end of lease or non-compliance)",3973,3973
2021-22,7018,Retirement Villages,16,Resolution of dispute between resident and administering authority,10,10
2021-22,7018,Retirement Villages,16,Termination and/or possession,3,3
2021-22,7018,Retirement Villages,16,Vacant possession (breach or other),2,2
2021-22,7018,Retirement Villages,16,Vary or set aside a previous order,1,1
2021-22,7018,Rooming House,142,Compensation or bond claim (Rooming House),74,74
2021-22,7018,Rooming House,142,House rules,2,2
2021-22,7018,Rooming House,142,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",21,21
2021-22,7018,Rooming House,142,"Vacant possession (breach, end of lease or frustration)",45,45
2022-23,6959,Housing Improvement Act,1,Review a Housing Improvement Order,1,1
2022-23,6959,Housing Improvement Act (H&C),15,Apportion costs of work undertaken pursuant to HIA order,1,1
2022-23,6959,Housing Improvement Act (H&C),15,Compensation,9,9
2022-23,6959,Housing Improvement Act (H&C),15,Exemption from the Act,2,2
2022-23,6959,Housing Improvement Act (H&C),15,Vary or set aside a HIA notice or order,3,3
2022-23,6959,Procedural,1,Application for review due to non-attendance at hearing,1,1
2022-23,6959,Residential Parks,42,Compensation or bond claim (Residential parks),8,8
2022-23,6959,Residential Parks,42,Hardship (Parks),16,16
2022-23,6959,Residential Parks,42,"Termination and/or possession (conduct, illegal use of premises or abandonment) (Parks)",4,4
2022-23,6959,Residential Parks,42,"Vacant Possession (breach, end of lease or non-compliance) (Parks)",14,14
2022-23,6959,Residential Tenancy,6744,Bond Dispute Referral,1,1
2022-23,6959,Residential Tenancy,6744,Compensation or bond claim,2391,2391
2022-23,6959,Residential Tenancy,6744,Domestic Violence,20,20
2022-23,6959,Residential Tenancy,6744,Frustration,71,71
2022-23,6959,Residential Tenancy,6744,Hardship or domestic violence,323,323
2022-23,6959,Residential Tenancy,6744,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",9,9
2022-23,6959,Residential Tenancy,6744,Return of goods,20,20
2022-23,6959,Residential Tenancy,6744,"Termination and/or possession (conduct, illegal use of premises or abandonment)",257,257
2022-23,6959,Residential Tenancy,6744,"Vacant possession (breach, end of lease or non-compliance)",3652,3652
