financial_year,financial_year_total,application_type,type_total,count
2020-21,511,Application for Internal Review (SACAT Act),3,3
2020-21,511,Internal Review of Administration Order,13,13
2020-21,511,Internal Review of Bond/Compensation,28,28
2020-21,511,Internal Review of Decision (Advance Care Directives),1,1
2020-21,511,Internal Review of Decision (Guardianship and Administration),61,61
2020-21,511,Internal Review of Decision (Housing & Civil),140,140
2020-21,511,Internal Review of Decision (Mental Health),23,23
2020-21,511,Internal Review of Guardianship & Administration Act Order (Other),1,1
2020-21,511,Internal Review of Guardianship & Administration Order,10,10
2020-21,511,Internal Review of Guardianship Order,9,9
2020-21,511,Internal Review of Level 2 Community Treatment Order (Mental Health Act),40,40
2020-21,511,Internal Review of Level 3 Inpatient Treatment Order (Mental Health Act),7,7
2020-21,511,Internal Review of Residential Tenancies Act Order (other),5,5
2020-21,511,Internal Review of Section 90 Residential Tenancies Act Order - Tenant Conduct,16,16
2020-21,511,Internal Review of Special Powers Order,2,2
2020-21,511,Internal Review of Vacant Possession Order,152,152
2021-22,461,Application for Internal Review (SACAT Act),2,2
2021-22,461,Internal Review of Administration Order,14,14
2021-22,461,Internal Review of Bond/Compensation,12,12
2021-22,461,Internal Review of Decision (Guardianship and Administration),47,47
2021-22,461,Internal Review of Decision (Housing & Civil),140,140
2021-22,461,Internal Review of Decision (Mental Health),23,23
2021-22,461,Internal Review of Guardianship & Administration Act Order (Other),3,3
2021-22,461,Internal Review of Guardianship & Administration Order,3,3
2021-22,461,Internal Review of Guardianship Order,12,12
2021-22,461,Internal Review of Level 2 Community Treatment Order (Mental Health Act),29,29
2021-22,461,Internal Review of Level 3 Inpatient Treatment Order (Mental Health Act),1,1
2021-22,461,Internal Review of Mental Health Act Order (Other),1,1
2021-22,461,Internal Review of Residential Tenancies Act Order (other),13,13
2021-22,461,Internal Review of Review of Extension of Level 2 Inpatient Treatment Order,1,1
2021-22,461,Internal Review of Section 90 Residential Tenancies Act Order - Tenant Conduct,10,10
2021-22,461,Internal Review of Special Powers Order,4,4
2021-22,461,Internal Review of Vacant Possession Order,146,146
2022-23,456,Application for Internal Review (SACAT Act),3,3
2022-23,456,Internal Review of Administration Order,17,17
2022-23,456,Internal Review of Bond/Compensation,24,24
2022-23,456,Internal Review of Decision (Guardianship and Administration),62,62
2022-23,456,Internal Review of Decision (Housing & Civil),149,149
2022-23,456,Internal Review of Decision (Mental Health),21,21
2022-23,456,Internal Review of Guardianship & Administration Act Order (Other),1,1
2022-23,456,Internal Review of Guardianship & Administration Order,4,4
2022-23,456,Internal Review of Guardianship Order,9,9
2022-23,456,Internal Review of Level 2 Community Treatment Order (Mental Health Act),22,22
2022-23,456,Internal Review of Mental Health Act Order (Other),1,1
2022-23,456,Internal Review of Residential Tenancies Act Order (other),7,7
2022-23,456,Internal Review of Section 90 Residential Tenancies Act Order - Tenant Conduct,13,13
2022-23,456,Internal Review of Special Powers Order,3,3
2022-23,456,Internal Review of Vacant Possession Order,120,120
