FinYear,FinYearTotal,Act,ActTotal,Application,TypeTotal,Total
20-21,5419,Administration (existing orders),525,Recommendation of disallowance of item of expenditure by the Public Trustee,1,1
20-21,5419,Administration (existing orders),525,"Request for advice, direction or approval (Administration)",47,47
20-21,5419,Administration (existing orders),525,Request for approval to pay above the prescribed limit for accommodation,3,3
20-21,5419,Administration (existing orders),525,Request for extension of Administration Order on death,7,7
20-21,5419,Administration (existing orders),525,Request for purchase of real estate,22,22
20-21,5419,Administration (existing orders),525,Request for sale of real estate,173,173
20-21,5419,Administration (existing orders),525,Request for variation or revocation of Administration Order,261,261
20-21,5419,Administration (existing orders),525,Request to lease out property over two years,3,3
20-21,5419,Administration (existing orders),525,Request to pay maintenance to child or grandchild above the prescribed limit,1,1
20-21,5419,Administration (existing orders),525,Request to pay maintenance to spouse above the prescribed limit,3,3
20-21,5419,Administration (existing orders),525,Request to pay premium above the prescribed limit for entry to a retirement village,2,2
20-21,5419,Administration (existing orders),525,Request to take on lease (excluding accommodation of person),2,2
20-21,5419,Advance Care Directives,154,Revoke an Advance Care Directive,93,93
20-21,5419,Advance Care Directives,154,Revoke appointment of substitute decision maker,37,37
20-21,5419,Advance Care Directives,154,Seek a declaration or direction,19,19
20-21,5419,Advance Care Directives,154,Vary or revoke a declaration or direction,5,5
20-21,5419,Advance Care Directives Review,3,Review a matter dealt with by the Public Advocate,3,3
20-21,5419,Consent to Medical Treatment & Palliative Care,21,Consent to medical treatment or dental treatment,21,21
20-21,5419,Guardianship (existing orders),869,Request for variation or revocation of Guardianship Order,331,331
20-21,5419,Guardianship (existing orders),869,Request for variation or revocation of Special Powers,89,89
20-21,5419,Guardianship (existing orders),869,Special Powers (Residence and/or Detention and/or Treatment),449,449
20-21,5419,Guardianship and Administration,2032,Administration and/or Guardianship Order with/without Special Powers,1914,1914
20-21,5419,Guardianship and Administration,2032,"Request for advice, direction or approval",118,118
20-21,5419,Mental Health,1203,Consent for Electro-Convulsive Therapy,81,81
20-21,5419,Mental Health,1203,Consent for Neurosurgery,1,1
20-21,5419,Mental Health,1203,Level 2 Community Treatment Order,938,938
20-21,5419,Mental Health,1203,Level 3 Inpatient Treatment Order,76,76
20-21,5419,Mental Health,1203,Vary or revoke a Level 2 Community Treatment Order,30,30
20-21,5419,Mental Health,1203,Vary or revoke a Level 3 Inpatient treatment Order,77,77
20-21,5419,Mental Health Review,597,Review of a Level 1 Community Treatment Order ,27,27
20-21,5419,Mental Health Review,597,Review of a Level 1 Inpatient Treatment Order,85,85
20-21,5419,Mental Health Review,597,Review of a Level 2 Inpatient Treatment Order,485,485
20-21,5419,Prescribed medical treatment,1,Request for sterilisation,1,1
20-21,5419,Protection Order,14,Advice from District Court regarding protection orders,14,14
