FinYear,FinYearTotal,Act,ActTotal,Application,TypeTotal,Total
20-21,6800,Housing Improvement Act (H&C),12,Compensation,11,11
20-21,6800,Housing Improvement Act (H&C),12,Exemption from the Act,1,1
20-21,6800,Land Agents Act,2,Complaint (Land Agents Act),2,2
20-21,6800,Procedural,5,Application for review due to non-attendance at hearing,5,5
20-21,6800,Residential Parks,18,Compensation or bond claim (Residential parks),2,2
20-21,6800,Residential Parks,18,Frustration,1,1
20-21,6800,Residential Parks,18,Hardship,6,6
20-21,6800,Residential Parks,18,"Termination and/or possession (conduct, illegal use of premises or abandonment)",4,4
20-21,6800,Residential Parks,18,"Vacant Possession (breach, end of lease or non-compliance)",4,4
20-21,6800,Residential Parks,18,Vary or set aside a previous order,1,1
20-21,6800,Residential Tenancy,6607,Compensation or bond claim,2401,2401
20-21,6800,Residential Tenancy,6607,Domestic Violence,24,24
20-21,6800,Residential Tenancy,6607,Frustration,64,64
20-21,6800,Residential Tenancy,6607,Hardship or domestic violence,263,263
20-21,6800,Residential Tenancy,6607,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",19,19
20-21,6800,Residential Tenancy,6607,Return of goods,33,33
20-21,6800,Residential Tenancy,6607,"Termination and/or possession (conduct, illegal use of premises or abandonment)",278,278
20-21,6800,Residential Tenancy,6607,"Vacant possession (breach, end of lease or non-compliance)",3525,3525
20-21,6800,Retirement Villages,26,Resolution of dispute between resident and administering authority,16,16
20-21,6800,Retirement Villages,26,Retirement Village Rules,2,2
20-21,6800,Retirement Villages,26,Review of fees and charges,1,1
20-21,6800,Retirement Villages,26,Termination and/or possession,1,1
20-21,6800,Retirement Villages,26,Vacant possession (breach or other),5,5
20-21,6800,Retirement Villages,26,Vary or set aside a previous order,1,1
20-21,6800,Rooming House,130,Compensation or bond claim (Rooming House),58,58
20-21,6800,Rooming House,130,House rules,4,4
20-21,6800,Rooming House,130,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",23,23
20-21,6800,Rooming House,130,"Vacant possession (breach, end of lease or frustration)",45,45
