FinYear,FinYearTotal,ApplicationType,TypeTotal,Total
20-21,511,Application for Internal Review (SACAT Act),3,3
20-21,511,Internal Review of Administration Order,13,13
20-21,511,Internal Review of Bond/Compensation,28,28
20-21,511,Internal Review of Decision (Advance Care Directives),1,1
20-21,511,Internal Review of Decision (Guardianship and Administration),61,61
20-21,511,Internal Review of Decision (Housing & Civil),140,140
20-21,511,Internal Review of Decision (Mental Health),23,23
20-21,511,Internal Review of Guardianship & Administration Act Order (Other),1,1
20-21,511,Internal Review of Guardianship & Administration Order,10,10
20-21,511,Internal Review of Guardianship Order,9,9
20-21,511,Internal Review of Level 2 Community Treatment Order (Mental Health Act),40,40
20-21,511,Internal Review of Level 3 Inpatient Treatment Order (Mental Health Act),7,7
20-21,511,Internal Review of Residential Tenancies Act Order (other),5,5
20-21,511,Internal Review of Section 90 Residential Tenancies Act Order - Tenant Conduct,16,16
20-21,511,Internal Review of Special Powers Order,2,2
20-21,511,Internal Review of Vacant Possession Order,152,152
