FinYear,FinYearTotal,Application,TypeTotal,Percentage,Total
21-22,549,Application for an Exemption from a Provision of the Equal Opportunity Act,6,1.10%,6
21-22,549,Application for Declaration of Putative Spouse,1,0.20%,1
21-22,549,Application for identity acknowledgment certificate,1,0.20%,1
21-22,549,Application for review of a control order made by a council,17,3.10%,17
21-22,549,Application for review of Southern State Superannuation Board decision,4,0.70%,4
21-22,549,Application for review of superannuation board decision,3,0.50%,3
21-22,549,Application to change name of child,179,32.60%,179
21-22,549,Application to register the change of a child's sex or gender identity,14,2.60%,14
21-22,549,Application to resolve dispute between parents,4,0.70%,4
21-22,549,Application to Review a decision by the Electoral Commissioner as to the registration of a political party;,1,0.20%,1
21-22,549,Application to Review a decision by the Electoral Commissioner or an officer as to the enrolment of any claimant for enrolment; ,1,0.20%,1
21-22,549,Application to review a decision of a person to refuse to release a dog or cat that is being detained,3,0.50%,3
21-22,549,Application to review a destruction order made by a council,9,1.60%,9
21-22,549,Application to review a prohibition order made by a council,3,0.50%,3
21-22,549,Complaint (Building Work Contractors Act),3,0.50%,3
21-22,549,Complaint (Equal Opportunity Act),29,5.30%,29
21-22,549,Complaint (Health Practitioners),27,4.90%,27
21-22,549,Complaint (Land Agents Act),1,0.20%,1
21-22,549,Complaint (Local Government Act),1,0.20%,1
21-22,549,"Complaint (Plumbers, Gas Fitters and Electricians Act)",2,0.40%,2
21-22,549,Complaint (Second-Hand Vehicle Dealers Act),1,0.20%,1
21-22,549,Complaint (Veterinary Practice Act),3,0.50%,3
21-22,549,Land valuation review,11,2.00%,11
21-22,549,Review a decision made by Registrar of Firearms - other,7,1.30%,7
21-22,549,Review a decision of a council to alter the rate assessment record,1,0.20%,1
21-22,549,Review a decision of a national health practitioner board,9,1.60%,9
21-22,549,Review a decision of the Central Assessment Unit to issue an NDIS worker exemption ,1,0.20%,1
21-22,549,Review a decision of the Central Assessment Unit to issue or revoke a Prohibition Notice,19,3.50%,19
21-22,549,Review a decision of the Chief Executive relating to accreditation of planning and building professionals,1,0.20%,1
21-22,549,Review a decision of the Commissioner for Consumer Affairs relating to Land Agents,3,0.50%,3
21-22,549,Review a decision of the Commissioner refusing an application for a building work supervisor registration,12,2.20%,12
21-22,549,Review a decision of the Commissioner refusing an application for a second-hand vehicle dealer licence,2,0.40%,2
21-22,549,Review a decision of the Commissioner to disqualify a person from providing tattoo services,1,0.20%,1
21-22,549,"Review a decision of the Commissioner to suspend, cancel or impose conditions on a licence or registration",6,1.10%,6
21-22,549,Review a decision of the Competent Authority to issue a notice to Part 6 of the Dangerous Substances Act ,1,0.20%,1
21-22,549,Review a decision of the Essential Services Commission of SA,1,0.20%,1
21-22,549,Review a decision of the Registrar of Motor Vehicles relating to drivers licences,9,1.60%,9
21-22,549,Review a decision of the Registrar of Motor Vehicles relating to the registration of motor vehicles,3,0.50%,3
21-22,549,Review a decision prohibiting persons from working in a children's residential facility,1,0.20%,1
21-22,549,Review a decision regarding placement of a child ,14,2.60%,14
21-22,549,"Review a decision regarding the medical examination, assessment and treatment of a child or young person ",1,0.20%,1
21-22,549,"Review a decision relating to a firearms licence, permit or registration ",14,2.60%,14
21-22,549,Review a decision relating to the approval of carers,2,0.40%,2
21-22,549,"Review a decision that relates to a fishing licence, registration or permit",20,3.60%,20
21-22,549,Review a decision to direct a specified person not to harbour or conceal (or assist another person to harbour or conceal) a child or young person,1,0.20%,1
21-22,549,"Review a decsion of the Minister to suspend or revoke a licence, authority or permit",1,0.20%,1
21-22,549,Review a Firearms Prohibition Order,2,0.40%,2
21-22,549,Review a Housing Assessment Order ,1,0.20%,1
21-22,549,Review a Housing Improvement Order,1,0.20%,1
21-22,549,Review a notice issued by a relevant authority under the South Australian Public Health Act ,2,0.40%,2
21-22,549,"Review an order, requirement or direction of the Chief Public Health Officer issued under the South Australian Public Health Act",1,0.20%,1
21-22,549,Review of a decision of the Chief Executive,1,0.20%,1
21-22,549,Review of a decision to refuse a request objecting to land acquisition,1,0.20%,1
21-22,549,Review of a Notice to Vacate,1,0.20%,1
21-22,549,Review of a Rent Control Notice,1,0.20%,1
21-22,549,Review of an act/decision of the Corporate Affairs Commission,2,0.40%,2
21-22,549,Review of Community Housing Provider decision,7,1.30%,7
21-22,549,Review of government/local government agency determination,26,4.70%,26
21-22,549,Review of housing SA decision,22,4.00%,22
21-22,549,Review of land valuation decision,1,0.20%,1
21-22,549,Review of Ombudsman's determination,16,2.90%,16
21-22,549,Review of other Government decision,4,0.70%,4
21-22,549,Review of the Treasurer's decision,5,0.90%,5
21-22,549,Reviews of decisions relating to information and the involvement of an approved carer in decision-making,1,0.20%,1
