FinYear,FinYearTotal,Application,TypeTotal,Percentage,Total
22-23,7758,Bond Dispute Referral,1,0.0%,1
22-23,7758,Compensation,7,0.1%,7
22-23,7758,Compensation or bond claim,2675,34.5%,2675
22-23,7758,Compensation or bond claim (Residential parks),17,0.2%,17
22-23,7758,Compensation or bond claim (Rooming House),64,0.8%,64
22-23,7758,Domestic Violence,12,0.2%,12
22-23,7758,Frustration,55,0.7%,55
22-23,7758,Hardship (Parks),21,0.3%,21
22-23,7758,Hardship or domestic violence,253,3.3%,253
22-23,7758,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",11,0.1%,11
22-23,7758,Resolution of dispute between resident and administering authority,27,0.3%,27
22-23,7758,Retirement Village Rules,3,0.0%,3
22-23,7758,Return of goods,14,0.2%,14
22-23,7758,Termination and/or possession,5,0.1%,5
22-23,7758,"Termination and/or possession (conduct, illegal use of premises or abandonment)",325,4.2%,325
22-23,7758,"Termination and/or possession (conduct, illegal use of premises or abandonment) (Parks)",3,0.0%,3
22-23,7758,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment) (Parks)",23,0.3%,23
22-23,7758,Vacant possession (breach or other),6,0.1%,6
22-23,7758,"Vacant possession (breach, end of lease or frustration)",45,0.6%,45
22-23,7758,"Vacant possession (breach, end of lease or non-compliance)",4177,53.8%,4177
22-23,7758,"Vacant Possession (breach, end of lease or non-compliance) (Parks)",12,0.2%,12
22-23,7758,Vary or set aside a HIA notice or order,2,0.0%,2

