financial_year,housing_type,local_government_area,is_total_row,number_of_dwellings,rate_per_10_000_of_all_residential_dwellings,tenantable_dwellings,untenantable_dwellings_or_undergoing_major_redevelopment,number_of_occupied_dwellings,pct_of_tenantable_dwellings_that_are_occupied,average_market_rent_of_dwelling_30_june,1_or_2_bedrooms,3_bedrooms,4_or_more_bedrooms,separate_houses,semi_detached,flat_unit_or_apartment
2019-20,Public Housing,Adelaide Hills Council,False,20,13.589650920214975,20,0,20,1,284.76190476190476,0,20,0,20,0,0
2019-20,Public Housing,Adelaide Plains Council,False,5,18.531816702889422,5,0,5,1,142,5,0,0,0,0,5
2019-20,Public Housing,Alexandrina Council,False,35,20.91222610233481,35,0,30,0.8571428571428571,155.7058823529412,35,0,0,0,0,35
2019-20,Public Housing,Barunga West Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Berri Barmera Council,False,270,532.914084987151,270,0,255,0.9444444444444444,174.08823529411765,125,140,10,135,100,40
2019-20,Public Housing,Campbelltown City Council,False,655,294.9633056289983,655,0,630,0.9618320610687023,320.9649923896499,430,205,25,275,290,95
2019-20,Public Housing,City of Adelaide,False,360,272.56354494912677,355,5,345,0.971830985915493,266.06145251396646,325,35,0,0,115,245
2019-20,Public Housing,City of Burnside,False,175,90.96595804492932,170,5,160,0.9411764705882353,272.73446327683615,175,0,0,0,55,120
2019-20,Public Housing,City of Charles Sturt,False,2830,530.4651903889963,2775,55,2660,0.9585585585585585,277.51872791519435,1730,1015,85,475,1820,535
2019-20,Public Housing,City of Holdfast Bay,False,255,138.69386983907273,250,0,245,0.98,323.1023622047244,210,45,0,50,130,75
2019-20,Public Housing,City of Marion,False,2355,565.7022700446535,2270,80,2190,0.9647577092511013,287.2078198045049,1605,685,60,700,1165,490
2019-20,Public Housing,City of Mitcham,False,220,82.65376922976189,200,20,195,0.975,292.43243243243245,200,20,5,65,65,90
2019-20,Public Housing,City of Mount Gambier,False,1045,832.2555554779083,1040,5,995,0.9567307692307693,185.04306220095694,280,730,35,325,635,85
2019-20,Public Housing,City of Norwood Payneham and St Peters,False,590,330.6733384070994,580,5,570,0.9827586206896551,292.84013605442175,495,90,0,40,280,270
2019-20,Public Housing,City of Onkaparinga,False,3060,415.6773943065612,3045,15,2965,0.9737274220032841,251.45294117647057,1375,1555,135,1530,965,565
2019-20,Public Housing,City of Playford,False,2980,755.0961438790215,2905,75,2790,0.9604130808950087,209.3948959032908,1290,1485,200,980,1480,515
2019-20,Public Housing,City of Port Adelaide Enfield,False,4075,730.6440159409486,3990,80,3825,0.9586466165413534,280.1684262214584,2505,1375,190,1440,2015,620
2019-20,Public Housing,City of Port Lincoln,False,545,800.2077921141229,540,5,525,0.9722222222222222,205.87845303867402,250,285,10,260,190,95
2019-20,Public Housing,City of Prospect,False,245,269.5210136843444,240,0,235,0.9791666666666666,320.4836065573771,205,35,5,55,135,55
2019-20,Public Housing,City of Salisbury,False,3105,549.2156133015712,3095,10,3010,0.9725363489499192,247.5880270357258,1405,1525,175,1495,1045,565
2019-20,Public Housing,City of Tea Tree Gully,False,1245,305.3397277047467,1240,5,1210,0.9758064516129032,289.18393574297187,670,535,40,775,345,125
2019-20,Public Housing,City of Unley,False,455,268.09239120135544,425,35,410,0.9647058823529412,272.24507658643324,405,55,0,20,175,260
2019-20,Public Housing,City of West Torrens,False,1285,469.787785377242,1265,25,1210,0.9565217391304348,274.7148407148407,995,270,20,300,495,490
2019-20,Public Housing,City of Whyalla,False,2100,1894.3954875566592,2085,15,2010,0.9640287769784173,193.0004764173416,385,1625,90,115,1910,75
2019-20,Public Housing,Clare and Gilbert Valleys Council,False,110,245.7987905536045,110,0,110,1,186.0900900900901,45,65,5,75,10,25
2019-20,Public Housing,Coorong District Council,False,10,29.65683646112601,10,0,5,0.5,154.66666666666666,5,5,0,5,0,5
2019-20,Public Housing,Copper Coast Council,False,245,267.3252841839682,245,0,230,0.9387755102040817,196.8395061728395,130,105,10,120,60,65
2019-20,Public Housing,Corporation of the Town of Walkerville,False,185,520.162359162544,160,25,150,0.9375,233.4516129032258,185,0,0,0,5,180
