financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2019-20,Public Housing,Adelaide Hills Council,False,40,15,25,0,0,5,0,5,0,5,10,5,5
2019-20,Public Housing,Adelaide Plains Council,False,5,5,5,0,0,0,0,0,0,0,0,5,0
2019-20,Public Housing,Alexandrina Council,False,35,20,15,0,0,0,0,0,0,5,10,10,5
2019-20,Public Housing,Barunga West Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Berri Barmera Council,False,445,200,235,10,15,70,45,40,45,45,70,65,40
2019-20,Public Housing,Campbelltown City Council,False,1000,455,540,5,40,105,90,70,105,155,170,140,125
2019-20,Public Housing,City of Adelaide,False,410,245,170,0,10,15,35,40,40,80,90,60,40
2019-20,Public Housing,City of Burnside,False,180,100,75,5,0,0,15,15,25,35,45,25,20
2019-20,Public Housing,City of Charles Sturt,False,4220,1915,2240,60,130,415,415,315,380,615,800,705,445
2019-20,Public Housing,City of Holdfast Bay,False,310,120,180,5,5,10,15,20,35,45,65,50,65
2019-20,Public Housing,City of Marion,False,3260,1445,1770,45,85,305,280,235,300,480,615,535,430
2019-20,Public Housing,City of Mitcham,False,255,135,115,5,5,10,20,20,30,40,45,45,35
2019-20,Public Housing,City of Mount Gambier,False,1790,770,985,35,90,280,220,205,215,210,250,175,140
2019-20,Public Housing,City of Norwood Payneham and St Peters,False,695,335,350,5,15,30,40,65,70,105,165,130,75
2019-20,Public Housing,City of Onkaparinga,False,4975,2220,2640,115,115,490,600,385,455,835,885,705,505
2019-20,Public Housing,City of Playford,False,5055,2360,2625,65,165,645,580,395,505,730,900,635,500
2019-20,Public Housing,City of Port Adelaide Enfield,False,6365,2905,3370,95,185,610,640,455,540,910,1220,1050,750
2019-20,Public Housing,City of Port Lincoln,False,855,390,450,15,35,110,75,80,70,115,150,110,110
2019-20,Public Housing,City of Prospect,False,310,155,155,5,5,15,15,25,20,50,75,55,40
2019-20,Public Housing,City of Salisbury,False,5245,2215,2945,90,155,495,570,370,420,745,1025,815,650
2019-20,Public Housing,City of Tea Tree Gully,False,1925,760,1100,60,35,155,165,135,155,300,395,315,265
2019-20,Public Housing,City of Unley,False,500,225,275,5,5,30,35,25,60,100,100,75,70
2019-20,Public Housing,City of West Torrens,False,1695,850,825,20,35,105,135,160,155,285,330,270,225
2019-20,Public Housing,City of Whyalla,False,3375,1590,1715,70,185,530,370,360,345,470,455,335,325
2019-20,Public Housing,Clare and Gilbert Valleys Council,False,175,70,100,0,5,20,15,15,20,20,30,25,25
2019-20,Public Housing,Coorong District Council,False,5,0,5,0,0,0,0,0,0,0,0,0,0
2019-20,Public Housing,Copper Coast Council,False,355,170,180,5,5,35,30,20,30,55,75,60,50
2019-20,Public Housing,Corporation of the Town of Walkerville,False,155,115,40,0,0,0,5,15,35,40,35,15,15
2019-20,Public Housing,District Council Lower Eyre Peninsula,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Ceduna,False,130,50,80,0,15,35,20,15,15,10,15,5,5
2019-20,Public Housing,District Council of Cleve,False,10,5,5,0,0,0,0,0,0,5,0,5,0
2019-20,Public Housing,District Council of Coober Pedy,False,10,5,5,0,0,5,5,0,0,0,0,0,0
2019-20,Public Housing,District Council of Elliston,False,5,5,0,0,0,0,0,0,0,0,0,0,0
