table,row_order,line_item,is_total_row,year,value_million_aud
operating_statement,1,Taxation revenue,False,2015-16,4438
operating_statement,1,Taxation revenue,False,2016-17,4445
operating_statement,1,Taxation revenue,False,2017-18,4587
operating_statement,1,Taxation revenue,False,2018-19,4606
operating_statement,1,Taxation revenue,False,2019-20,4583
operating_statement,1,Taxation revenue,False,2020-21,4965
operating_statement,1,Taxation revenue,False,2021-22,5753
operating_statement,1,Taxation revenue,False,2022-23,6098
operating_statement,1,Taxation revenue,False,2023-24,6789
operating_statement,1,Taxation revenue,False,2024-25,7241
operating_statement,2,Current grants and subsidies,False,2015-16,7882
operating_statement,2,Current grants and subsidies,False,2016-17,8504
operating_statement,2,Current grants and subsidies,False,2017-18,8959
operating_statement,2,Current grants and subsidies,False,2018-19,9484
operating_statement,2,Current grants and subsidies,False,2019-20,8980
operating_statement,2,Current grants and subsidies,False,2020-21,9282
operating_statement,2,Current grants and subsidies,False,2021-22,10276
operating_statement,2,Current grants and subsidies,False,2022-23,10949
operating_statement,2,Current grants and subsidies,False,2023-24,12165
operating_statement,2,Current grants and subsidies,False,2024-25,13075
operating_statement,3,Sales of goods and services,False,2015-16,2455
operating_statement,3,Sales of goods and services,False,2016-17,2568
operating_statement,3,Sales of goods and services,False,2017-18,2631
operating_statement,3,Sales of goods and services,False,2018-19,2631
operating_statement,3,Sales of goods and services,False,2019-20,2624
operating_statement,3,Sales of goods and services,False,2020-21,2790
operating_statement,3,Sales of goods and services,False,2021-22,2958
operating_statement,3,Sales of goods and services,False,2022-23,3020
operating_statement,3,Sales of goods and services,False,2023-24,3354
operating_statement,3,Sales of goods and services,False,2024-25,3663
operating_statement,4,Interest income,False,2015-16,36
operating_statement,4,Interest income,False,2016-17,41
operating_statement,4,Interest income,False,2017-18,37
operating_statement,4,Interest income,False,2018-19,39
operating_statement,4,Interest income,False,2019-20,32
operating_statement,4,Interest income,False,2020-21,24
operating_statement,4,Interest income,False,2021-22,19
operating_statement,4,Interest income,False,2022-23,77
operating_statement,4,Interest income,False,2023-24,101
operating_statement,4,Interest income,False,2024-25,95
operating_statement,5,Dividend income,False,2015-16,791
operating_statement,5,Dividend income,False,2016-17,644
operating_statement,5,Dividend income,False,2017-18,677
operating_statement,5,Dividend income,False,2018-19,535
operating_statement,5,Dividend income,False,2019-20,400
operating_statement,5,Dividend income,False,2020-21,271
operating_statement,5,Dividend income,False,2021-22,227
operating_statement,5,Dividend income,False,2022-23,201
operating_statement,5,Dividend income,False,2023-24,403
operating_statement,5,Dividend income,False,2024-25,327
operating_statement,6,Royalty income,False,2015-16,208
operating_statement,6,Royalty income,False,2016-17,214
operating_statement,6,Royalty income,False,2017-18,237
operating_statement,6,Royalty income,False,2018-19,299
operating_statement,6,Royalty income,False,2019-20,312
operating_statement,6,Royalty income,False,2020-21,323
operating_statement,6,Royalty income,False,2021-22,383
operating_statement,6,Royalty income,False,2022-23,379
operating_statement,6,Royalty income,False,2023-24,422
operating_statement,6,Royalty income,False,2024-25,405
