row_order,line_item,is_total_row,year,value_million_aud
1,Buildings and structures,False,2015-16,30626
1,Buildings and structures,False,2016-17,33871
1,Buildings and structures,False,2017-18,35166
1,Buildings and structures,False,2018-19,36044
1,Buildings and structures,False,2019-20,40303
1,Buildings and structures,False,2020-21,45117
1,Buildings and structures,False,2021-22,51638
1,Buildings and structures,False,2022-23,47480
1,Buildings and structures,False,2023-24,51607
1,Buildings and structures,False,2024-25,56163
2,Machinery and equipment,False,2015-16,1448
2,Machinery and equipment,False,2016-17,1778
2,Machinery and equipment,False,2017-18,1814
2,Machinery and equipment,False,2018-19,1993
2,Machinery and equipment,False,2019-20,1519
2,Machinery and equipment,False,2020-21,1768
2,Machinery and equipment,False,2021-22,1598
2,Machinery and equipment,False,2022-23,1675
2,Machinery and equipment,False,2023-24,1804
2,Machinery and equipment,False,2024-25,1883
3,Other fixed produced assets,False,2015-16,150
3,Other fixed produced assets,False,2016-17,155
3,Other fixed produced assets,False,2017-18,123
3,Other fixed produced assets,False,2018-19,139
3,Other fixed produced assets,False,2019-20,115
3,Other fixed produced assets,False,2020-21,120
3,Other fixed produced assets,False,2021-22,145
3,Other fixed produced assets,False,2022-23,98
3,Other fixed produced assets,False,2023-24,151
3,Other fixed produced assets,False,2024-25,159
4,Other produced assets,False,2015-16,1339
4,Other produced assets,False,2016-17,1344
4,Other produced assets,False,2017-18,1351
4,Other produced assets,False,2018-19,1361
4,Other produced assets,False,2019-20,1394
4,Other produced assets,False,2020-21,1721
4,Other produced assets,False,2021-22,1895
4,Other produced assets,False,2022-23,1913
4,Other produced assets,False,2023-24,1876
4,Other produced assets,False,2024-25,1903
5,Land,False,2015-16,6806
5,Land,False,2016-17,6933
5,Land,False,2017-18,7172
5,Land,False,2018-19,7566
5,Land,False,2019-20,7937
5,Land,False,2020-21,8182
5,Land,False,2021-22,8879
5,Land,False,2022-23,10703
5,Land,False,2023-24,12198
5,Land,False,2024-25,13821
6,Other non-produced assets,False,2015-16,281
6,Other non-produced assets,False,2016-17,322
6,Other non-produced assets,False,2017-18,346
6,Other non-produced assets,False,2018-19,318
6,Other non-produced assets,False,2019-20,318
6,Other non-produced assets,False,2020-21,288
6,Other non-produced assets,False,2021-22,372
6,Other non-produced assets,False,2022-23,379
6,Other non-produced assets,False,2023-24,365
6,Other non-produced assets,False,2024-25,351
7,Total non-financial assets,True,2015-16,40650
7,Total non-financial assets,True,2016-17,44403
7,Total non-financial assets,True,2017-18,45972
7,Total non-financial assets,True,2018-19,47420
7,Total non-financial assets,True,2019-20,51585
7,Total non-financial assets,True,2020-21,57196
