period_end_date,period_label,region,domestic_overnight_visitors,domestic_overnight_visitor_nights
2007-06-30,Year ending June 2007,South Australia,5352000,18894000
2007-06-30,Year ending June 2007,Australia,73770000,289133000
2007-09-30,Year ending September 2007,South Australia,5472000,19559000
2007-09-30,Year ending September 2007,Australia,74921000,292701000
2007-12-31,Year ending December 2007,South Australia,5499000,19420000
2007-12-31,Year ending December 2007,Australia,74464000,292354000
2008-03-31,Year ending March 2008,South Australia,5472000,19433000
2008-03-31,Year ending March 2008,Australia,75557000,293125000
2008-06-30,Year ending June 2008,South Australia,5282000,19060000
2008-06-30,Year ending June 2008,Australia,73527000,285490000
2008-09-30,Year ending September 2008,South Australia,5162000,18825000
2008-09-30,Year ending September 2008,Australia,72901000,282391000
2008-12-31,Year ending December 2008,South Australia,5133000,19102000
2008-12-31,Year ending December 2008,Australia,72009000,277865000
2009-03-31,Year ending March 2009,South Australia,4914000,18443000
2009-03-31,Year ending March 2009,Australia,69158000,265232000
2009-06-30,Year ending June 2009,South Australia,4879000,18451000
2009-06-30,Year ending June 2009,Australia,68539000,263405000
2009-09-30,Year ending September 2009,South Australia,4924000,18840000
2009-09-30,Year ending September 2009,Australia,68006000,262395000
2009-12-31,Year ending December 2009,South Australia,4898000,18793000
2009-12-31,Year ending December 2009,Australia,67670000,262236000
2010-03-31,Year ending March 2010,South Australia,4817000,18087000
2010-03-31,Year ending March 2010,Australia,67721000,262492000
2010-06-30,Year ending June 2010,South Australia,4891000,18523000
2010-06-30,Year ending June 2010,Australia,68143000,264260000
2010-09-30,Year ending September 2010,South Australia,4769000,17860000
2010-09-30,Year ending September 2010,Australia,68599000,266391000
2010-12-31,Year ending December 2010,South Australia,4759000,17399000
2010-12-31,Year ending December 2010,Australia,69297000,265393000
2011-03-31,Year ending March 2011,South Australia,4899000,18343000
2011-03-31,Year ending March 2011,Australia,69542000,263033000
2011-06-30,Year ending June 2011,South Australia,5018000,18530000
2011-06-30,Year ending June 2011,Australia,70977000,266235000
2011-09-30,Year ending September 2011,South Australia,5077000,19222000
2011-09-30,Year ending September 2011,Australia,71745000,269200000
2011-12-31,Year ending December 2011,South Australia,5109000,19142000
2011-12-31,Year ending December 2011,Australia,71895000,270573000
2012-03-31,Year ending March 2012,South Australia,5210000,19399000
2012-03-31,Year ending March 2012,Australia,73323000,279127000
2012-06-30,Year ending June 2012,South Australia,5101000,18826000
2012-06-30,Year ending June 2012,Australia,73369000,278348000
2012-09-30,Year ending September 2012,South Australia,5112000,18395000
2012-09-30,Year ending September 2012,Australia,72965000,275671000
2012-12-31,Year ending December 2012,South Australia,5176000,18885000
2012-12-31,Year ending December 2012,Australia,74472000,281733000
2013-03-31,Year ending March 2013,South Australia,5143000,18516000
2013-03-31,Year ending March 2013,Australia,74622000,283754000
2013-06-30,Year ending June 2013,South Australia,5220000,18962000
2013-06-30,Year ending June 2013,Australia,75268000,286056000
2013-09-30,Year ending September 2013,South Australia,5302000,18580000
2013-09-30,Year ending September 2013,Australia,75955000,283512000
2013-12-31,Year ending December 2013,South Australia,5235000,19493000
2013-12-31,Year ending December 2013,Australia,75796000,282680000
2014-03-31,Year ending March 2014,South Australia,5343000,19668000
2014-03-31,Year ending March 2014,Australia,77902000,287260000
2014-06-30,Year ending June 2014,South Australia,5463000,19660000
2014-06-30,Year ending June 2014,Australia,80332000,296189000
2014-09-30,Year ending September 2014,South Australia,5504000,20107000
2014-09-30,Year ending September 2014,Australia,81813000,304507000
2014-12-31,Year ending December 2014,South Australia,5743000,19764000
2014-12-31,Year ending December 2014,Australia,84481000,310533000
2015-03-31,Year ending March 2015,South Australia,5849000,20636000
2015-03-31,Year ending March 2015,Australia,85121000,312828000
2015-06-30,Year ending June 2015,South Australia,5809000,20495000
2015-06-30,Year ending June 2015,Australia,85317000,312136000
2015-09-30,Year ending September 2015,South Australia,5861000,20593000
2015-09-30,Year ending September 2015,Australia,86672000,315555000
2015-12-31,Year ending December 2015,South Australia,5914000,20586000
2015-12-31,Year ending December 2015,Australia,87523000,317535000
2016-03-31,Year ending March 2016,South Australia,6047000,20904000
2016-03-31,Year ending March 2016,Australia,88893000,323144000
2016-06-30,Year ending June 2016,South Australia,6128000,21686000
2016-06-30,Year ending June 2016,Australia,89071000,325711000
2016-09-30,Year ending September 2016,South Australia,6278000,22635000
2016-09-30,Year ending September 2016,Australia,89532000,327840000
2016-12-31,Year ending December 2016,South Australia,6211000,22327000
2016-12-31,Year ending December 2016,Australia,90742000,334798000
2017-03-31,Year ending March 2017,South Australia,6109000,21687000
2017-03-31,Year ending March 2017,Australia,91683000,335481000
