period_end_date,period_label,region,international_visitors,international_visitor_nights
2007-06-30,Year ending June 2007,South Australia,372000,7255000
2007-06-30,Year ending June 2007,Australia,5151000,158678000
2007-09-30,Year ending September 2007,South Australia,371000,7062000
2007-09-30,Year ending September 2007,Australia,5181000,160185000
2007-12-31,Year ending December 2007,South Australia,367000,7313000
2007-12-31,Year ending December 2007,Australia,5145000,157240000
2008-03-31,Year ending March 2008,South Australia,367000,6870000
2008-03-31,Year ending March 2008,Australia,5148000,159200000
2008-06-30,Year ending June 2008,South Australia,367000,7020000
2008-06-30,Year ending June 2008,Australia,5134000,159763000
2008-09-30,Year ending September 2008,South Australia,369000,7275000
2008-09-30,Year ending September 2008,Australia,5136000,163236000
2008-12-31,Year ending December 2008,South Australia,358000,7067000
2008-12-31,Year ending December 2008,Australia,5099000,167198000
2009-03-31,Year ending March 2009,South Australia,349000,7231000
2009-03-31,Year ending March 2009,Australia,5052000,171669000
2009-06-30,Year ending June 2009,South Australia,347000,7187000
2009-06-30,Year ending June 2009,Australia,5045000,173238000
2009-09-30,Year ending September 2009,South Australia,351000,7466000
2009-09-30,Year ending September 2009,Australia,5016000,174231000
2009-12-31,Year ending December 2009,South Australia,357000,7582000
2009-12-31,Year ending December 2009,Australia,5088000,176589000
2010-03-31,Year ending March 2010,South Australia,360000,8217000
2010-03-31,Year ending March 2010,Australia,5167000,180457000
2010-06-30,Year ending June 2010,South Australia,362000,8271000
2010-06-30,Year ending June 2010,Australia,5190000,181887000
2010-09-30,Year ending September 2010,South Australia,361000,8529000
2010-09-30,Year ending September 2010,Australia,5294000,184412000
2010-12-31,Year ending December 2010,South Australia,362000,8712000
2010-12-31,Year ending December 2010,Australia,5354000,186226000
2011-03-31,Year ending March 2011,South Australia,373000,8743000
2011-03-31,Year ending March 2011,Australia,5351000,186669000
2011-06-30,Year ending June 2011,South Australia,368000,8631000
2011-06-30,Year ending June 2011,Australia,5370000,190203000
2011-09-30,Year ending September 2011,South Australia,365000,8724000
2011-09-30,Year ending September 2011,Australia,5341000,192337000
2011-12-31,Year ending December 2011,South Australia,356000,8963000
2011-12-31,Year ending December 2011,Australia,5343000,196100000
2012-03-31,Year ending March 2012,South Australia,336000,8951000
2012-03-31,Year ending March 2012,Australia,5402000,197728000
2012-06-30,Year ending June 2012,South Australia,328000,9224000
2012-06-30,Year ending June 2012,Australia,5438000,198656000
2012-09-30,Year ending September 2012,South Australia,323000,9438000
2012-09-30,Year ending September 2012,Australia,5498000,204351000
2012-12-31,Year ending December 2012,South Australia,334000,9469000
2012-12-31,Year ending December 2012,Australia,5589000,207950000
2013-03-31,Year ending March 2013,South Australia,354000,10687000
2013-03-31,Year ending March 2013,Australia,5661000,213137000
2013-06-30,Year ending June 2013,South Australia,361000,10446000
2013-06-30,Year ending June 2013,Australia,5714000,214709000
2013-09-30,Year ending September 2013,South Australia,363000,10163000
2013-09-30,Year ending September 2013,Australia,5790000,213866000
2013-12-31,Year ending December 2013,South Australia,378000,10491000
2013-12-31,Year ending December 2013,Australia,5905000,217026000
2014-03-31,Year ending March 2014,South Australia,383000,9331000
2014-03-31,Year ending March 2014,Australia,6029000,215443000
2014-06-30,Year ending June 2014,South Australia,388000,9459000
2014-06-30,Year ending June 2014,Australia,6161000,217633000
2014-09-30,Year ending September 2014,South Australia,390000,9236000
2014-09-30,Year ending September 2014,Australia,6263000,220565000
2014-12-31,Year ending December 2014,South Australia,373000,8643000
2014-12-31,Year ending December 2014,Australia,6357000,222908000
2015-03-31,Year ending March 2015,South Australia,381000,8615000
2015-03-31,Year ending March 2015,Australia,6499000,230913000
2015-06-30,Year ending June 2015,South Australia,385000,8997000
2015-06-30,Year ending June 2015,Australia,6567000,235549000
2015-09-30,Year ending September 2015,South Australia,392000,9215000
2015-09-30,Year ending September 2015,Australia,6678000,241886000
2015-12-31,Year ending December 2015,South Australia,408000,9855000
2015-12-31,Year ending December 2015,Australia,6859000,248107000
2016-03-31,Year ending March 2016,South Australia,410000,9752000
2016-03-31,Year ending March 2016,Australia,7074000,248457000
2016-06-30,Year ending June 2016,South Australia,422000,9627000
2016-06-30,Year ending June 2016,Australia,7246000,247912000
2016-09-30,Year ending September 2016,South Australia,430000,9864000
2016-09-30,Year ending September 2016,Australia,7445000,250997000
2016-12-31,Year ending December 2016,South Australia,432000,9867000
2016-12-31,Year ending December 2016,Australia,7625000,252969000
2017-03-31,Year ending March 2017,South Australia,436000,10608000
2017-03-31,Year ending March 2017,Australia,7724000,261814000
