period_end_date,period_label,origin_country,international_visitors
2007-06-30,Year ending June 2007,United Kingdom,83000
2007-06-30,Year ending June 2007,United States of America,36000
2007-06-30,Year ending June 2007,China,15000
2007-06-30,Year ending June 2007,New Zealand,39000
2007-06-30,Year ending June 2007,Germany,34000
2007-09-30,Year ending September 2007,United Kingdom,82000
2007-09-30,Year ending September 2007,United States of America,37000
2007-09-30,Year ending September 2007,China,15000
2007-09-30,Year ending September 2007,New Zealand,41000
2007-09-30,Year ending September 2007,Germany,32000
2007-12-31,Year ending December 2007,United Kingdom,75000
2007-12-31,Year ending December 2007,United States of America,34000
2007-12-31,Year ending December 2007,China,17000
2007-12-31,Year ending December 2007,New Zealand,40000
2007-12-31,Year ending December 2007,Germany,35000
2008-03-31,Year ending March 2008,United Kingdom,76000
2008-03-31,Year ending March 2008,United States of America,36000
2008-03-31,Year ending March 2008,China,17000
2008-03-31,Year ending March 2008,New Zealand,41000
2008-03-31,Year ending March 2008,Germany,34000
2008-06-30,Year ending June 2008,United Kingdom,80000
2008-06-30,Year ending June 2008,United States of America,33000
2008-06-30,Year ending June 2008,China,16000
2008-06-30,Year ending June 2008,New Zealand,40000
2008-06-30,Year ending June 2008,Germany,34000
2008-09-30,Year ending September 2008,United Kingdom,79000
2008-09-30,Year ending September 2008,United States of America,33000
2008-09-30,Year ending September 2008,China,15000
2008-09-30,Year ending September 2008,New Zealand,37000
2008-09-30,Year ending September 2008,Germany,36000
2008-12-31,Year ending December 2008,United Kingdom,78000
2008-12-31,Year ending December 2008,United States of America,34000
2008-12-31,Year ending December 2008,China,11000
2008-12-31,Year ending December 2008,New Zealand,39000
2008-12-31,Year ending December 2008,Germany,30000
2009-03-31,Year ending March 2009,United Kingdom,76000
2009-03-31,Year ending March 2009,United States of America,32000
2009-03-31,Year ending March 2009,China,9000
2009-03-31,Year ending March 2009,New Zealand,37000
2009-03-31,Year ending March 2009,Germany,30000
2009-06-30,Year ending June 2009,United Kingdom,73000
2009-06-30,Year ending June 2009,United States of America,31000
2009-06-30,Year ending June 2009,China,9000
2009-06-30,Year ending June 2009,New Zealand,36000
2009-06-30,Year ending June 2009,Germany,30000
2009-09-30,Year ending September 2009,United Kingdom,73000
2009-09-30,Year ending September 2009,United States of America,32000
2009-09-30,Year ending September 2009,China,11000
2009-09-30,Year ending September 2009,New Zealand,37000
2009-09-30,Year ending September 2009,Germany,29000
2009-12-31,Year ending December 2009,United Kingdom,73000
2009-12-31,Year ending December 2009,United States of America,32000
2009-12-31,Year ending December 2009,China,14000
2009-12-31,Year ending December 2009,New Zealand,36000
2009-12-31,Year ending December 2009,Germany,30000
2010-03-31,Year ending March 2010,United Kingdom,70000
2010-03-31,Year ending March 2010,United States of America,31000
2010-03-31,Year ending March 2010,China,18000
2010-03-31,Year ending March 2010,New Zealand,38000
2010-03-31,Year ending March 2010,Germany,30000
2010-06-30,Year ending June 2010,United Kingdom,68000
2010-06-30,Year ending June 2010,United States of America,30000
2010-06-30,Year ending June 2010,China,21000
2010-06-30,Year ending June 2010,New Zealand,37000
2010-06-30,Year ending June 2010,Germany,30000
2010-09-30,Year ending September 2010,United Kingdom,65000
