period_end_date,period_label,region,tourism_expenditure_aud
2007-06-30,Year ending June 2007,South Australia,4298000000
2007-09-30,Year ending September 2007,South Australia,4490000000
2007-12-31,Year ending December 2007,South Australia,4521000000
2008-03-31,Year ending March 2008,South Australia,4640000000
2008-06-30,Year ending June 2008,South Australia,4603000000
2008-09-30,Year ending September 2008,South Australia,4531000000
2008-12-31,Year ending December 2008,South Australia,4609000000
2009-03-31,Year ending March 2009,South Australia,4533000000
2009-06-30,Year ending June 2009,South Australia,4712000000
2009-09-30,Year ending September 2009,South Australia,4954000000
2009-12-31,Year ending December 2009,South Australia,4992000000
2010-03-31,Year ending March 2010,South Australia,4987000000
2010-06-30,Year ending June 2010,South Australia,4860000000
2010-09-30,Year ending September 2010,South Australia,4753000000
2010-12-31,Year ending December 2010,South Australia,4762000000
2011-03-31,Year ending March 2011,South Australia,4817000000
2011-06-30,Year ending June 2011,South Australia,4967000000
2011-09-30,Year ending September 2011,South Australia,5040000000
2011-12-31,Year ending December 2011,South Australia,5086000000
2012-03-31,Year ending March 2012,South Australia,5239000000
2012-06-30,Year ending June 2012,South Australia,5071000000
2012-09-30,Year ending September 2012,South Australia,5053000000
2012-12-31,Year ending December 2012,South Australia,5015000000
2013-03-31,Year ending March 2013,South Australia,4869000000
2013-06-30,Year ending June 2013,South Australia,4989000000
2013-09-30,Year ending September 2013,South Australia,4991000000
2013-12-31,Year ending December 2013,South Australia,5097000000
2014-03-31,Year ending March 2014,South Australia,5312000000
2014-06-30,Year ending June 2014,South Australia,5395000000
2014-09-30,Year ending September 2014,South Australia,5435000000
2014-12-31,Year ending December 2014,South Australia,5466000000
2015-03-31,Year ending March 2015,South Australia,5537000000
2015-06-30,Year ending June 2015,South Australia,5462000000
2015-09-30,Year ending September 2015,South Australia,5564000000
2015-12-31,Year ending December 2015,South Australia,5641000000
2016-03-31,Year ending March 2016,South Australia,5766000000
2016-06-30,Year ending June 2016,South Australia,5968000000
2016-09-30,Year ending September 2016,South Australia,6157000000
2016-12-31,Year ending December 2016,South Australia,6336000000
2017-03-31,Year ending March 2017,South Australia,6319000000
2007-06-30,Year ending June 2007,Regional South Australia,1872000000
2007-09-30,Year ending September 2007,Regional South Australia,1975000000
2007-12-31,Year ending December 2007,Regional South Australia,1976000000
2008-03-31,Year ending March 2008,Regional South Australia,2019000000
2008-06-30,Year ending June 2008,Regional South Australia,2021000000
2008-09-30,Year ending September 2008,Regional South Australia,1998000000
2008-12-31,Year ending December 2008,Regional South Australia,2049000000
2009-03-31,Year ending March 2009,Regional South Australia,2023000000
2009-06-30,Year ending June 2009,Regional South Australia,1996000000
2009-09-30,Year ending September 2009,Regional South Australia,2141000000
2009-12-31,Year ending December 2009,Regional South Australia,2121000000
2010-03-31,Year ending March 2010,Regional South Australia,2053000000
2010-06-30,Year ending June 2010,Regional South Australia,2037000000
2010-09-30,Year ending September 2010,Regional South Australia,1962000000
2010-12-31,Year ending December 2010,Regional South Australia,1981000000
2011-03-31,Year ending March 2011,Regional South Australia,2034000000
2011-06-30,Year ending June 2011,Regional South Australia,2170000000
2011-09-30,Year ending September 2011,Regional South Australia,2176000000
2011-12-31,Year ending December 2011,Regional South Australia,2198000000
2012-03-31,Year ending March 2012,Regional South Australia,2254000000
2012-06-30,Year ending June 2012,Regional South Australia,2147000000
2012-09-30,Year ending September 2012,Regional South Australia,2119000000
2012-12-31,Year ending December 2012,Regional South Australia,2138000000
2013-03-31,Year ending March 2013,Regional South Australia,2078000000
2013-06-30,Year ending June 2013,Regional South Australia,2181000000
2013-09-30,Year ending September 2013,Regional South Australia,2196000000
2013-12-31,Year ending December 2013,Regional South Australia,2261000000
2014-03-31,Year ending March 2014,Regional South Australia,2366000000
2014-06-30,Year ending June 2014,Regional South Australia,2340000000
2014-09-30,Year ending September 2014,Regional South Australia,2376000000
2014-12-31,Year ending December 2014,Regional South Australia,2379000000
2015-03-31,Year ending March 2015,Regional South Australia,2391000000
2015-06-30,Year ending June 2015,Regional South Australia,2361000000
2015-09-30,Year ending September 2015,Regional South Australia,2392000000
2015-12-31,Year ending December 2015,Regional South Australia,2304000000
2016-03-31,Year ending March 2016,Regional South Australia,2370000000
2016-06-30,Year ending June 2016,Regional South Australia,2445000000
2016-09-30,Year ending September 2016,Regional South Australia,2560000000
2016-12-31,Year ending December 2016,Regional South Australia,2751000000
2017-03-31,Year ending March 2017,Regional South Australia,2637000000
