,Solid Waste Levy (Country),,,,,,,Solid Waste Levy (Metro),,,,
1-Jul-94,to,30-Apr-95,,$1.07,per tonne,,1-Jul-94,to,30-Apr-95,,$2.07,per tonne
1-May-95,to,30-Jun-95,,$1.17,per tonne,,1-May-95,to,30-Jun-95,,$2.17,per tonne
1-Jul-95,to,30-Jun-96,,$1.27,per tonne,,1-Jul-95,to,30-Jun-96,,$2.27,per tonne
1-Jul-96,to,30-Jun-97,,$1.43,per tonne,,1-Jul-96,to,30-Jun-97,,$2.48,per tonne
1-Jul-97,to,31-Dec-97,,$2.06,per tonne,,1-Jul-97,to,31-Dec-97,,$3.08,per tonne
1-Jan-98,to,30-Jun-98,,$2.17,per tonne,,1-Jan-98,to,30-Jun-98,,$3.22,per tonne
1-Jul-98,to,30-Jun-99,,$2.28,per tonne,,1-Jul-98,to,30-Jun-99,,$4.52,per tonne
1-Jul-99,to,30-Jun-00,,$2.34,per tonne,,1-Jul-99,to,30-Jun-00,,$4.64,per tonne
1-Jul-00,to,30-Jun-01,,$2.40,per tonne,,1-Jul-00,to,30-Jun-01,,$4.76,per tonne
1-Jul-01,to,30-Jun-02,,$2.46,per tonne,,1-Jul-01,to,30-Jun-02,,$4.88,per tonne
1-Jul-02,to,30-Jun-03,,$2.56,per tonne,,1-Jul-02,to,30-Jun-03,,$5.09,per tonne
1-Jul-03,to,30-Jun-04,,$5.05,per tonne,,1-Jul-03,to,30-Jun-04,,$10.10,per tonne
1-Jul-04,to,30-Jun-05,,$5.25,per tonne,,1-Jul-04,to,30-Jun-05,,$10.50,per tonne
1-Jul-05,to,30-Jun-06,,$5.40,per tonne,,1-Jul-05,to,30-Jun-06,,$10.80,per tonne
1-Jul-06,to,30-Jun-07,,$5.60,per tonne,,1-Jul-06,to,30-Jun-07,,$11.20,per tonne
1-Jul-07,to,30-Jun-08,,$11.70,per tonne,,1-Jul-07,to,30-Jun-08,,$23.40,per tonne
1-Jul-08,to,30-Jun-09,,$12.10,per tonne,,1-Jul-08,to,30-Jun-09,,$24.20,per tonne
1-Jul-09,to,30-Jun-10,,$12.60,per tonne,,1-Jul-09,to,30-Jun-10,,$25.20,per tonne
1-Jul-10,to,30-Jun-11,,$13.00,per tonne,,1-Jul-10,to,30-Jun-11,,$26.00,per tonne
1-Jul-11,to,30-Jun-12,,$17.50,per tonne,,1-Jul-11,to,30-Jun-12,,$35.00,per tonne
1-Jul-12,to,30-Jun-13,,$21.00,per tonne,,1-Jul-12,to,30-Jun-13,,$42.00,per tonne
1-Jul-13,to,30-Jun-14,,$23.50,per tonne,,1-Jul-13,to,30-Jun-14,,$47.00,per tonne
1-Jul-14,to,30-Jun-15,,$26.00,per tonne,,1-Jul-14,to,30-Jun-15,,$52.00,per tonne
1-Jul-15,to,30-Jun-16,,$28.50,per tonne,,1-Jul-15,to,30-Jun-16,,$57.00,per tonne
1-Jul-16,to,30-Aug-16,,$31.00,per tonne,,1-Jul-16,to,30-Aug-16,,$62.00,per tonne
1-Sep-16,to ,30-Jun-17,,$38.00,per tonne,,1-Sep-16,to ,30-Jun-17,,$76.00,per tonne
1-Jul-17,to,30-Jun-18,,$43.50,per tonne,,1-Jul-17,to,30-Jun-18,,$87.00,per tonne
1-Jul-18,to ,30-Jun-19,,$50.00,per tonne,,1-Jul-18,to ,30-Jun-19,,$100.00,per tonne
1-Jul-19,to,31-Dec-19,,$55.00,per tonne,,1-Jul-19,to,31-Dec-19,,$110.00,per tonne
1-Jan-20,to ,30-Jun-20,,$70.00,per tonne,,1-Jan-20,to ,30-Jun-20,,$140.00,per tonne
1-Jul-20,to,30-Jun-21,,$71.50,per tonne,,1-Jul-20,to,30-Jun-21,,$143.00,per tonne
1-Jul-21,to,30-Jun-22,,$73.00,per tonne,,1-Jul-21,to,30-Jun-22,,$146.00,per tonne
1-Jul-22,to,30-Jun-23,,$74.50,per tonne,,1-Jul-22,to,30-Jun-23,,$149.00,per tonne
1-Jul-23,to,30-Jun-24,,$78.00,per tonne,,1-Jul-23,to,30-Jun-24,,$156.00,per tonne
,,,,,,,,,,,,
,Liquid Waste Levy ,,,,,,,,,,,
1-Jul-94,to,30-Jun-95,,$6.50,per kilolitre,,,,,,,
1-Jul-95,to,30-Jun-96,,$6.50,per kilolitre,,,,,,,
1-Jul-96,to,30-Jun-97,,$6.79,per kilolitre,,,,,,,
1-Jul-97,to,30-Jun-98,,$6.79,per kilolitre,,,,,,,
1-Jul-98,to,30-Jun-99,,$7.21,per kilolitre,,,,,,,
1-Jul-99,to,30-Jun-00,,$7.41,per kilolitre,,,,,,,
1-Jul-00,to,30-Jun-01,,$7.60,per kilolitre,,,,,,,
1-Jul-01,to,30-Jun-02,,$7.80,per kilolitre,,,,,,,
1-Jul-02,to,30-Jun-03,,$8.12,per kilolitre,,,,,,,
1-Jul-03,to,30-Jun-04,,$8.45,per kilolitre,,,,,,,
1-Jul-04,to,30-Jun-05,,$8.77,per kilolitre,,,,,,,
1-Jul-05,to,30-Jun-06,,$9.04,per kilolitre,,,,,,,
1-Jul-06,to,30-Jun-07,,$9.39,per kilolitre,,,,,,,
1-Jul-07,to,30-Jun-08,,$9.82,per kilolitre,,,,,,,
1-Jul-08,to,30-Jun-09,,$10.10,per kilolitre,,,,,,,
1-Jul-09,to,30-Jun-10,,$10.60,per kilolitre,,,,,,,
1-Jul-10,to,30-Jun-11,,$10.90,per kilolitre,,,,,,,
1-Jul-11,to,30-Jun-12,,$11.25,per kilolitre,,,,,,,
1-Jul-12,to,30-Jun-13,,$11.64,per kilolitre,,,,,,,
1-Jul-13,to,30-Jun-14,,$17.95,per kilolitre,,,,,,,
1-Jul-14,to,30-Jun-15,,$18.90,per kilolitre,,,,,,,
1-Jul-15,to,30-Jun-16,,$28.70,per kilolitre,,,,,,,
1-Jul-16,to,30-Jun-17,,$35.10,per kilolitre,,,,,,,
1-Jul-17,to,30-Jun-18,,$35.81,per kilolitre,,,,,,,
1-Jul-18,to ,30-Jun-19,,$36.52,per kilolitre,,,,,,,
1-Jul-19,to ,30-Jun-20,,$38.30,per kilolitre,,,,,,,
1-Jul-20,to,30-Jun-21,,$39.02,per kilolitre,,,,,,,
1-Jul-21,to,30-Jun-22,,$39.73,per kilolitre,,,,,,,
1-Jul-22,to,30-Jun-23,,$40.50,per kilolitre,,,,,,,
1-Jul-23,to,30-Jun-24,,$42.50,per kilolitre,,,,,,,
