Towns and Suburbs,System
Aberfoyle Park,Central metro Adelaide suburbs
Adelaide,Central metro Adelaide suburbs
Adelaide,Central metro Adelaide suburbs
Adelaide Airport,Central metro Adelaide suburbs
Albert Park,Western metro Adelaide suburbs
Alberton,Western metro Adelaide suburbs
Aldgate,Summit
Aldinga,Southern metro Adelaide suburbs
Aldinga Beach,Myponga metro (supplying outer southern Adelaide)
Aldinga Beach,Southern metro Adelaide suburbs
Alford,Morgan/Northern
Allenby Gardens,Western metro Adelaide suburbs
Amata,Amata
American Beach,Penneshaw
American River,Penneshaw
Andrews,Morgan/Northern
Andrews Farm,Northern metro Adelaide suburbs
Angaston,Swan Reach
Angle Park,Western metro Adelaide suburbs
Angle Vale,Northern metro Adelaide suburbs
Appila,Morgan/Northern
Ardrossan,Morgan/Swan Reach
Arno Bay,Eyre South
Arthurton,Morgan/Swan Reach
Ascot Park,Central metro Adelaide suburbs
Ashford,Central metro Adelaide suburbs
Ashton,Eastern metro Adelaide suburbs
Athelstone,Eastern metro Adelaide suburbs
Athol Park,Western metro Adelaide suburbs
Auburn,Morgan/Northern
Auldana,Eastern metro Adelaide suburbs
Australia Plains,Morgan/Northern
Avon,Barossa
Balaklava,Morgan/Swan Reach
Balhannah,Summit
Ballast Head,Penneshaw
Banksia Park,Anstey Hill (supplying north eastern Adelaide)
Barabba,Barossa
Barmera,Barmera
Baroota,Morgan/Northern
Barunga Gap,Morgan/Northern
Baudin Beach,Penneshaw
Beachport,Beachport
Beatty,Morgan/Northern
Beaumont,Central metro Adelaide suburbs
Bedford Park,Central metro Adelaide suburbs
Beetaloo Valley,Morgan/Northern
Belair,Central metro Adelaide suburbs
Belalie North,Morgan/Northern
Bellevue Heights,Central metro Adelaide suburbs
Berri,Berri
Beulah Park,Western metro Adelaide suburbs
Beverley,Western metro Adelaide suburbs
Birdwood,Summit
Birkenhead,Western metro Adelaide suburbs
Black Forest,Central metro Adelaide suburbs
Black Springs,Morgan/Northern
Blackwood,Central metro Adelaide suburbs
Blair Athol,Western metro Adelaide suburbs
Blakeview,Northern metro Adelaide suburbs
Blakiston,Summit
Blanchetown,Blanchetown
Blewitt Springs,Central metro Adelaide suburbs
Blyth,Morgan/Northern
Bolivar,Northern metro Adelaide suburbs
Booborowie,Morgan/Northern
Booleroo Centre,Morgan/Northern
Boonerdo,Morgan/Northern
Bordertown,Bordertown
Bowden,Western metro Adelaide suburbs
Bower,Morgan/Northern
Bowillia,Morgan/Northern
Bowmans,Morgan/Swan Reach
Brahma Lodge,Northern metro Adelaide suburbs
Bridgewater,Summit
Bright,Morgan/Northern
Brighton,Central metro Adelaide suburbs
Brinkworth,Morgan/Northern
Broadview,Western metro Adelaide suburbs
Brompton,Western metro Adelaide suburbs
Brooklyn Park,Central metro Adelaide suburbs
Brown Beach,Penneshaw
Brown Hill Creek,Central metro Adelaide suburbs
Brownlow,Morgan/Northern
Brukunga,Summit
Buchanan,Morgan/Northern
Bumbunga,Morgan/Northern
Bundaleer North,Morgan/Northern
Bundey,Morgan/Northern
Bungama,Morgan/Northern
Burnsfield,Morgan/Northern
Burnside,Central metro Adelaide suburbs
Burra,Morgan/Northern
Burton,Northern metro Adelaide suburbs
Bute,Morgan/Northern
Cadell,Cadell
Callington,Kanmantoo
Caltowie,Morgan/Northern
Caltowie North,Morgan/Northern
Caltowie West,Morgan/Northern
Cambrai,Swan Reach
Camden Park,Central metro Adelaide suburbs
Campbelltown,Western metro Adelaide suburbs
Campoona,Morgan/Eyre
Caralue,Morgan/Eyre
Carrickalinga,Myponga (supplying Victor Harbor and the Fleurieu)
Castambul,Eastern metro Adelaide suburbs
Cavan,Northern metro Adelaide suburbs
Ceduna,Eyre South/Morgan
Chandlers Hill,Central metro Adelaide suburbs
Chandlers Hill,Happy Valley
Charleston,Summit
Cheltenham,Western metro Adelaide suburbs
Cherry Gardens,Central metro Adelaide suburbs
Cherry Gardens,Happy Valley
Christie Downs,Central metro Adelaide suburbs
Christies Beach,Central metro Adelaide suburbs
Clapham,Central metro Adelaide suburbs
Clare,Morgan/Northern
Clarence Gardens,Central metro Adelaide suburbs
Clarence Park,Central metro Adelaide suburbs
Clarendon,Central metro Adelaide suburbs
Clarendon,Happy Valley
Clayton Bay,Summit
Clearview,Western metro Adelaide suburbs
Cleland,Central metro Adelaide suburbs
Clements Gap,Morgan/Northern
Cleve,Eyre South
Cleve,Morgan/Eyre
Clinton,Morgan/Swan Reach
Clovelly Park,Central metro Adelaide suburbs
Cobdogla,Barmera
Coffin Bay,Coffin Bay
College Park,Western metro Adelaide suburbs
Collinsfield,Morgan/Northern
Collinswood,Western metro Adelaide suburbs
Colonel Light Gardens,Central metro Adelaide suburbs
Concordia,Barossa (supplying Gawler and surrounds)
Condowie,Morgan/Northern
Coobowie,Morgan/Swan Reach
Cooltong,Renmark
Coomandook,Tailem Bend
Coonalpyn,Tailem Bend
Coonamia,Morgan/Northern
Copley,Leigh Creek
Coromandel East,Central metro Adelaide suburbs
Coromandel East,Happy Valley
Coromandel Valley,Central metro Adelaide suburbs
Cortlinye,Morgan/Eyre
Cowandilla,Central metro Adelaide suburbs
Cowell,Eyre South
Cowirra,Cowirra
Crafers,Summit
Crafers West,Central metro Adelaide suburbs
Crafers West,Summit
Craigburn Farm,Central metro Adelaide suburbs
Craigmore,Northern metro Adelaide suburbs
Croydon,Western metro Adelaide suburbs
Croydon Park,Western metro Adelaide suburbs
Crystal Brook,Morgan/Northern
Culburra,Tailem Bend
Cultana,Morgan/Northern
Cumberland Park,Central metro Adelaide suburbs
Cummins,Eyre South
Cungena,Eyre South/Morgan
Curramulka,Morgan/Swan Reach
Cygnet River,Penneshaw
Darke Peak,Morgan/Eyre
Darlington,Central metro Adelaide suburbs
Davenport,Davenport
Davenport,Morgan/Northern
Davoren Park,Northern metro Adelaide suburbs
Daw Park,Central metro Adelaide suburbs
Dawesley,Summit
Dernancourt,Eastern metro Adelaide suburbs
Devon Park,Western metro Adelaide suburbs
Direk,Northern metro Adelaide suburbs
Douglas Point South,Morgan/Northern
Dover Gardens,Central metro Adelaide suburbs
Dry Creek,Western metro Adelaide suburbs
Dublin,Barossa
Dudley East,Penneshaw
Dudley Park,Western metro Adelaide suburbs
Dudley West,Penneshaw
Dulwich,Central metro Adelaide suburbs
Eastwood,Central metro Adelaide suburbs
Eba,Morgan/Northern
Eden Hills,Central metro Adelaide suburbs
Eden Valley,Mt Pleasant
Edinburgh,Northern metro Adelaide suburbs
Edinburgh North,Northern metro Adelaide suburbs
Edithburgh,Morgan/Swan Reach
Edwardstown,Central metro Adelaide suburbs
Elizabeth,Northern metro Adelaide suburbs
Elizabeth Downs,Northern metro Adelaide suburbs
Elizabeth East,Northern metro Adelaide suburbs
Elizabeth Grove,Northern metro Adelaide suburbs
Elizabeth North,Northern metro Adelaide suburbs
Elizabeth Park,Northern metro Adelaide suburbs
Elizabeth South,Northern metro Adelaide suburbs
Elizabeth Vale,Northern metro Adelaide suburbs
Elliston,Elliston
Emu Bay,Middle River
Emu Downs,Morgan/Northern
Encounter Bay,Myponga (supplying Victor Harbor and the Fleurieu)
Enfield,Western metro Adelaide suburbs
